,Zip,Household Income Change,Median Home Value Change,% Bachelors+ Change,Walmart Store Count
805,1532,0.08799080635893507,0.08383389919038914,0.1137993790814688,1.0
809,1537,0.07196082008391687,-0.20725841714035856,-0.11142857142857143,1.0
814,1545,0.1911673907430483,0.08624454148471616,0.06706408345752608,0.0
820,1566,0.2882901342075607,-0.09570510652688535,-0.10084417065936573,1.0
823,1570,0.16732834888454484,-0.07321131447587355,0.02251074951521794,0.0
826,1583,0.05693817494240935,-0.02619629758994062,0.09002744739249771,1.0
828,1588,0.23307472437729684,-0.08609958506224066,-0.05129329241560719,1.0
829,1590,-0.061312196462934114,-0.030947775628626693,0.11578947368421053,0.0
833,1605,0.050095697761504535,-0.10678391959798995,0.10827594687653713,0.0
835,1607,0.03216875411997363,-0.15315315315315314,0.027222315577213912,1.0
841,1701,0.26842988030989356,0.11238095238095239,0.08798453019249362,1.0
855,1748,0.31504550850811236,0.12016175621028308,0.2762569527756571,0.0
856,1749,0.14458899288265506,0.03647604327666151,0.07795083782387244,1.0
857,1752,0.0875049757731322,0.016143770941212304,0.042189033031723534,0.0
860,1757,0.26641521053036715,-0.08228043143297381,0.04836201534314742,0.0
861,1760,0.21593407813784066,0.2490118577075099,0.10651661868620779,0.0
869,1803,0.15531182889950476,0.14906542056074767,0.14644449659704295,0.0
872,1824,0.20544224555735058,0.11449752883031301,0.0667580378048084,1.0
883,1844,0.13744306103856666,0.09894950864113859,0.07490920574767093,1.0
888,1854,-0.14664756562619802,0.01695633743111488,0.019756476065417215,0.0
892,1864,0.21859535500485255,0.12249041281299346,0.09715193013793788,1.0
898,1887,0.21764606736003014,0.14928057553956833,0.1040064209751856,0.0
903,1905,0.3829831067161104,0.09169278996865204,0.05715409320311988,1.0
904,1906,0.06637168141592921,0.039700166574125485,0.07995022554051952,1.0
911,1923,0.0795108979171173,0.0513571048430016,0.059049447911665866,1.0
923,1960,0.0425174226678078,0.06296296296296296,0.05384552468715068,0.0
926,1970,0.16532925288685657,0.08364544319600499,0.079954148158762,1.0
931,2019,0.19195776570019393,-0.02181940248405505,0.10061170455582945,1.0
934,2026,0.16198838827311549,0.17871326449563146,0.0666208003669304,0.0
