,Zip,Household Income Change,Median Home Value Change,% Bachelors+ Change,Store Count
3074,10024,18.0,54.05,2.27,5.0
3075,10025,33.04,13.38,3.44,7.0
3076,10026,48.79,44.97,9.48,2.0
3077,10027,31.16,3.83,0.25,3.0
3078,10028,15.99,21.83,5.96,7.0
3079,10029,6.8,-17.61,4.94,1.0
3082,10032,43.65,26.61,11.59,1.0
3083,10033,44.28,10.5,7.45,1.0
3085,10035,14.09,29.63,13.11,1.0
3086,10036,45.94,22.33,-0.22,13.0
3088,10038,31.44,23.46,10.71,4.0
3089,10039,16.3,21.69,3.56,1.0
3090,10040,26.56,21.68,8.07,1.0
3091,10044,31.73,49.82,7.24,1.0
3092,10065,14.41,54.85,-2.66,5.0
3094,10075,37.92,19.1,-2.43,2.0
3095,10103,15.05,10.15,2.14,1.0
3098,10112,15.05,10.15,2.14,2.0
3100,10119,15.05,10.15,2.14,2.0
3101,10128,17.38,2.24,1.89,5.0
3109,10169,15.05,10.15,2.14,1.0
3113,10173,15.05,10.15,2.14,1.0
3119,10279,15.05,10.15,45.42,1.0
3121,10282,7.74,-80.54,-1.2,1.0
3127,10306,2.32,3.71,3.66,2.0
3130,10309,24.45,2.41,3.8,2.0
3131,10310,12.98,1.44,7.04,1.0
3133,10312,10.01,8.82,1.93,1.0
3134,10314,10.07,7.56,0.7,4.0
3135,10451,15.48,9.18,5.72,2.0
3142,10458,35.58,-7.97,3.58,1.0
3145,10461,10.68,-3.69,1.97,2.0
3146,10462,16.4,-12.2,4.54,1.0
3147,10463,11.52,0.1,2.05,2.0
3149,10465,12.96,2.03,-0.41,2.0
3152,10468,13.68,22.01,3.42,1.0
3161,10502,24.94,-6.65,7.59,1.0
3168,10510,3.35,-3.96,5.74,1.0
3170,10512,7.14,-17.47,6.58,1.0
3171,10514,20.89,0.2,-0.69,1.0
3177,10522,32.93,5.53,1.65,1.0
3183,10530,15.34,-6.81,-3.47,2.0
3189,10538,18.89,4.87,2.5,1.0
3191,10543,12.81,3.21,1.3,1.0
3194,10547,39.87,-4.04,-1.31,1.0
3196,10549,38.28,-7.32,1.88,2.0
3201,10562,-1.58,-12.34,0.82,1.0
3204,10570,0.62,-0.46,-1.01,1.0
3205,10573,32.94,-4.07,0.13,1.0
3210,10580,22.6,37.98,-0.13,1.0
3211,10583,21.37,10.84,1.06,3.0
3213,10589,6.6,-6.43,1.36,1.0
3220,10598,19.87,-7.14,4.4,1.0
3221,10601,-4.86,14.87,-7.45,3.0
3222,10603,14.75,-15.31,3.52,1.0
3229,10704,15.2,-1.87,-0.9,2.0
3231,10706,13.5,-2.67,1.12,1.0
3232,10707,3.49,-5.42,2.81,1.0
3233,10708,10.66,3.44,-4.45,2.0
3235,10710,18.33,-0.76,-2.18,3.0
3236,10801,19.82,-9.05,3.85,2.0
3238,10804,22.43,0.4,3.13,1.0
3240,10901,13.25,-14.29,0.35,1.0
3247,10917,11.93,-15.9,-9.82,1.0
3263,10940,1.8,-14.37,3.25,1.0
3264,10941,0.09,-10.97,2.96,1.0
3265,10950,0.42,-6.91,-7.84,1.0
3268,10954,21.73,-14.08,4.9,3.0
3269,10956,14.7,-9.38,5.3,1.0
3271,10960,19.43,-5.85,1.42,1.0
3280,10974,8.7,-19.55,9.22,1.0
3296,10994,11.77,-4.07,6.75,3.0
3303,11010,21.91,1.78,1.31,1.0
3305,11021,1.13,-4.81,-2.15,2.0
3308,11030,4.5,27.41,5.35,2.0
3309,11040,27.18,7.86,1.91,2.0
3311,11050,16.86,7.61,0.83,2.0
3314,11102,35.59,-0.45,7.56,1.0
3315,11103,34.87,15.3,3.25,1.0
3316,11104,13.14,0.08,1.99,1.0
3317,11105,29.9,22.46,2.24,1.0
3318,11106,33.89,33.66,4.74,2.0
3320,11201,36.21,35.45,0.42,11.0
3322,11204,12.35,27.63,1.1,1.0
3323,11205,32.62,15.49,0.42,1.0
3327,11209,26.68,23.26,2.73,3.0
3328,11210,24.59,21.34,2.3,2.0
3329,11211,67.16,51.63,9.61,2.0
3332,11214,35.71,16.51,-3.31,2.0
3333,11215,39.72,25.58,0.0,2.0
3335,11217,44.08,33.59,0.58,4.0
3340,11222,40.42,16.79,3.89,1.0
3342,11224,4.11,8.6,-1.2,1.0
3346,11229,25.04,10.68,0.23,1.0
3351,11234,20.1,11.39,4.45,3.0
3352,11235,23.64,-0.39,0.3,1.0
3355,11238,37.86,39.35,6.75,1.0
3356,11239,13.21,31.7,6.68,1.0
3358,11354,-12.86,39.92,1.39,2.0
3359,11355,-12.07,15.5,3.58,1.0
3360,11356,-0.8,11.86,0.01,2.0
3365,11361,18.3,13.71,5.36,1.0
3366,11362,6.72,-0.52,1.23,1.0
3369,11365,15.65,12.67,2.65,1.0
3376,11372,16.49,28.31,4.23,1.0
3377,11373,12.28,7.02,2.44,4.0
3378,11374,16.24,14.8,3.67,2.0
3379,11375,11.26,7.28,-1.04,4.0
3380,11377,15.37,28.73,3.97,1.0
3383,11385,42.22,8.16,4.81,2.0
3387,11414,10.14,-2.93,-1.99,1.0
3388,11415,23.02,14.09,-0.95,2.0
3399,11426,13.63,11.25,3.14,1.0
3403,11430,15.05,10.15,-8.08,6.0
3404,11432,11.97,7.3,-1.4,1.0
3407,11435,18.49,3.39,4.27,1.0
3413,11510,8.17,-6.11,2.84,1.0
3415,11516,29.81,-16.24,-6.3,1.0
3417,11520,7.35,-12.69,0.24,1.0
3418,11530,24.68,6.21,1.88,5.0
3419,11542,15.1,-7.41,-1.43,2.0
3422,11548,49.59,-10.62,66.56,2.0
3426,11553,-1.41,-8.65,6.49,1.0
3429,11557,13.29,-6.08,6.48,1.0
3430,11558,16.74,-11.85,8.76,1.0
3433,11561,15.08,-9.03,1.18,2.0
3434,11563,7.42,0.77,0.78,1.0
3436,11566,17.5,2.45,2.22,2.0
3439,11570,9.86,0.4,0.93,1.0
3440,11572,21.47,-1.14,0.72,2.0
3443,11577,18.75,15.67,1.38,1.0
3446,11581,8.41,0.49,1.78,2.0
3447,11590,22.69,-1.75,4.4,3.0
3455,11701,23.35,-8.26,2.42,1.0
3457,11703,13.02,-5.45,0.48,1.0
3458,11704,12.07,-5.37,4.06,1.0
3459,11705,10.18,-10.9,8.32,1.0
3460,11706,15.71,-8.08,-1.9,3.0
3464,11714,24.94,-2.9,3.15,1.0
3466,11716,0.01,-9.56,0.78,2.0
3470,11720,11.51,-6.71,0.96,2.0
3472,11722,-1.25,-16.18,3.63,1.0
3474,11725,19.59,-3.1,5.1,4.0
3475,11726,-0.09,-16.1,4.11,1.0
3477,11729,14.14,-6.37,3.0,2.0
3479,11731,13.96,-1.36,5.01,2.0
3481,11733,26.49,-14.64,6.17,2.0
3482,11735,19.54,-1.59,0.74,2.0
3488,11743,7.26,-2.78,1.64,1.0
3489,11746,10.76,-3.37,1.99,3.0
3490,11747,15.13,-3.74,7.27,2.0
3491,11749,0.88,-9.37,6.55,1.0
3492,11751,17.38,-5.55,4.17,1.0
3494,11753,6.79,11.36,1.58,1.0
3496,11755,14.57,-4.39,5.77,2.0
3497,11756,26.76,-0.18,1.77,3.0
3499,11758,10.04,-2.41,3.82,2.0
3501,11763,1.45,-7.1,3.33,3.0
3502,11764,2.02,-7.55,-1.4,1.0
3505,11767,13.17,-1.12,2.79,1.0
3506,11768,8.51,-1.31,5.86,1.0
3510,11772,13.52,-8.49,2.5,1.0
3512,11777,-0.22,-4.78,11.67,1.0
3514,11779,7.46,-8.05,3.6,1.0
3516,11782,6.93,-1.74,0.58,2.0
3518,11784,11.49,-9.42,3.53,1.0
3520,11787,14.96,-4.0,7.79,1.0
3521,11788,5.91,-11.19,6.03,1.0
3523,11790,10.36,-6.37,-4.92,1.0
3524,11791,21.64,3.33,1.81,1.0
3526,11793,17.13,-0.65,1.47,1.0
3527,11794,15.05,10.15,-43.5,1.0
3530,11797,12.75,5.2,1.48,1.0
3532,11801,20.36,1.14,-1.31,2.0
3533,11803,17.26,3.81,0.58,1.0
3535,11901,18.76,-11.27,1.48,3.0
3538,11932,77.4,-2.44,-15.52,1.0
3542,11937,33.05,-3.29,6.99,1.0
3548,11946,13.24,-3.94,0.58,1.0
3551,11949,-4.38,-1.56,3.44,1.0
3554,11952,7.05,5.06,8.3,1.0
3569,11968,10.89,8.78,8.9,1.0
3582,12010,5.0,2.66,-0.91,1.0
3587,12020,21.09,11.33,2.18,1.0
3617,12061,13.8,2.13,2.74,1.0
3621,12065,19.33,6.38,3.48,3.0
3632,12077,31.48,0.8,-0.39,1.0
3635,12084,1.34,8.67,-5.41,1.0
3638,12087,67.04,-26.71,2.13,1.0
3647,12110,6.3,5.57,-0.73,5.0
3668,12144,17.04,5.17,-0.92,1.0
3680,12159,8.07,1.86,2.05,1.0
3696,12180,18.11,-0.46,5.11,1.0
3714,12203,11.29,3.54,-2.04,5.0
3716,12205,9.25,8.61,-0.04,3.0
3718,12207,12.08,-38.73,19.32,1.0
3719,12208,14.47,-1.31,-2.27,1.0
3722,12211,8.18,-0.89,3.17,2.0
3724,12302,14.14,0.33,0.63,2.0
3726,12304,19.78,-7.42,2.78,1.0
3731,12309,21.38,7.15,-1.98,1.0
3732,12401,6.63,-9.08,5.23,1.0
3795,12475,25.93,-15.44,-12.57,1.0
3831,12524,4.33,-9.97,1.59,1.0
3850,12550,6.75,-14.57,3.7,1.0
3852,12561,0.76,-3.75,-3.55,2.0
3853,12563,-1.23,-6.28,-2.99,1.0
3861,12572,-0.96,-2.51,6.82,1.0
3876,12601,7.41,-18.06,4.26,3.0
3877,12603,4.78,-14.59,5.19,1.0
3940,12804,23.15,3.92,1.78,2.0
4046,24382,7.24,19.71,1.25,1.0
4047,24401,12.47,-0.05,0.34,1.0
4069,24457,-40.42,45.2,27.63,1.0
4090,24502,13.95,4.35,-2.24,3.0
4091,24503,4.31,3.33,4.28,1.0
4108,24540,10.81,7.37,3.33,2.0
4132,24581,15.05,10.15,45.42,1.0
4144,24601,-1.37,1223.56,0.0,1.0
4184,24740,23.83,36.51,1.29,1.0
4197,24827,80.92,66.59,5.54,1.0
4315,25083,0.55,170.03,9.41,1.0
4418,25309,43.38,17.44,0.79,2.0
4425,25401,9.16,-10.57,0.52,1.0
4426,25403,-2.28,3.02,2.91,2.0
4451,25504,-0.35,24.83,-3.67,2.0
4472,14020,25.93,13.46,2.9,1.0
4489,14043,17.73,12.16,5.38,2.0
4492,14051,17.18,18.73,8.21,1.0
4502,14063,21.43,2.23,4.67,1.0
4532,14127,19.7,25.71,3.01,1.0
4555,14202,11.74,22.48,8.68,2.0
4568,14216,27.79,38.66,6.28,1.0
4571,14219,8.73,10.18,2.57,1.0
4573,14221,8.82,24.58,0.64,4.0
4574,14222,26.02,26.03,5.6,1.0
