,Zip,Household Income Change,Median Home Value Change,% Bachelors+ Change,Starbucks Store Count,Walmart Store Count
181,13126,9.03,16.02,6.67,0.0,1.0
182,13131,11.96,8.92,8.81,0.0,0.0
183,13132,10.21,-7.3,10.45,0.0,0.0
184,13134,83.75,69.12,-27.88,0.0,0.0
185,13135,6.28,19.51,9.49,0.0,0.0
186,13136,15.21,-8.13,-1.49,0.0,0.0
187,13138,15.05,10.15,-29.76,0.0,0.0
188,13140,24.51,-1.59,3.66,0.0,0.0
189,13141,36.77,12.41,8.3,0.0,0.0
190,13142,-1.05,24.21,6.73,0.0,0.0
191,13143,21.84,11.72,2.68,0.0,0.0
192,13144,-3.09,19.52,-9.13,0.0,0.0
193,13145,20.94,32.31,5.72,0.0,0.0
194,13146,23.15,30.17,5.63,0.0,0.0
195,13147,-30.15,18.45,14.95,0.0,0.0
196,13148,19.14,18.09,3.95,0.0,0.0
197,13152,15.89,8.42,2.69,0.0,0.0
198,13153,-33.37,67.29,48.74,0.0,0.0
199,13155,109.33,2.52,38.81,0.0,0.0
200,13156,37.6,17.65,2.83,0.0,0.0
201,13157,-5.97,14.23,4.77,0.0,0.0
202,13158,16.66,20.88,13.35,0.0,0.0
203,13159,3.54,7.93,1.81,0.0,0.0
204,13160,2.89,21.3,9.35,0.0,0.0
205,13162,48.51,13.61,-24.94,0.0,0.0
206,13163,-21.5,1.5,-12.76,0.0,0.0
207,13164,11.0,24.08,-9.1,0.0,0.0
208,13165,17.12,9.55,0.59,0.0,1.0
209,13166,23.17,49.67,0.95,0.0,0.0
210,13167,0.57,17.93,-4.65,0.0,0.0
211,13202,18.36,91.84,0.35,1.0,0.0
212,13203,28.29,15.18,3.97,0.0,0.0
213,13204,21.79,9.87,11.62,0.0,0.0
214,13205,4.74,9.42,13.12,0.0,0.0
215,13206,-0.96,10.48,-0.59,0.0,0.0
216,13207,28.24,6.82,2.08,0.0,0.0
217,13208,27.27,7.19,0.43,0.0,0.0
218,13209,14.23,11.78,2.99,0.0,0.0
219,13210,6.52,21.45,-1.07,1.0,0.0
220,13211,9.6,3.13,-4.32,0.0,0.0
221,13212,9.57,10.01,1.53,0.0,0.0
222,13214,47.29,7.69,-6.16,0.0,0.0
223,13215,10.39,6.52,4.38,0.0,0.0
224,13219,9.97,6.16,2.97,1.0,0.0
225,13224,9.01,12.29,8.84,1.0,0.0
226,13290,15.05,10.15,2.14,2.0,0.0
227,13301,58.59,94.51,41.02,0.0,0.0
228,13302,2.37,-0.26,4.49,0.0,0.0
229,13303,34.95,39.84,-5.12,0.0,0.0
230,13304,7.2,40.07,-1.53,0.0,0.0
231,13305,-18.81,36.79,29.31,0.0,0.0
232,13308,15.97,24.46,5.47,0.0,0.0
233,13309,17.28,11.52,-1.25,0.0,0.0
234,13310,-34.23,14.06,34.17,0.0,0.0
235,13312,36.96,38.77,5.84,0.0,0.0
236,13313,4.39,167.58,-5.25,0.0,0.0
237,13314,26.53,17.29,22.27,0.0,0.0
238,13315,0.27,1.95,-1.81,0.0,0.0
239,13316,-5.28,18.18,2.5,0.0,0.0
240,13317,4.84,3.34,0.71,0.0,0.0
241,13318,67.49,42.75,-0.82,0.0,0.0
242,13319,7.27,3.06,20.75,0.0,0.0
243,13320,35.54,29.07,-4.26,0.0,0.0
244,13321,6.67,96.42,14.43,0.0,0.0
245,13322,5.51,7.88,4.97,0.0,0.0
246,13323,4.02,10.27,5.06,0.0,0.0
247,13324,29.84,16.47,-2.46,0.0,0.0
248,13325,8.53,18.0,14.47,0.0,0.0
249,13326,10.3,6.79,15.44,0.0,0.0
250,13327,23.04,10.58,-1.59,0.0,0.0
251,13328,38.53,2.98,-11.7,0.0,0.0
252,13329,14.85,8.1,-4.81,0.0,0.0
253,13331,-45.24,48.11,0.0,0.0,0.0
254,13332,7.93,6.66,-0.49,0.0,0.0
255,13333,33.4,40.99,-20.95,0.0,0.0
256,13334,63.84,-12.26,-2.51,0.0,0.0
257,13335,24.98,23.0,6.49,0.0,0.0
258,13337,75.62,41.13,-10.21,0.0,0.0
259,13338,-6.97,-2.39,10.75,0.0,0.0
260,13339,16.98,3.92,5.42,0.0,0.0
261,13340,23.93,6.0,-0.37,0.0,0.0
262,13341,357.22,20.83,2.31,0.0,0.0
263,13342,-8.18,8.45,17.85,0.0,0.0
264,13343,40.4,17.76,5.47,0.0,0.0
265,13345,93.71,34.43,63.45,0.0,0.0
266,13346,8.52,21.58,9.22,0.0,0.0
267,13348,17.38,17.94,-12.98,0.0,0.0
268,13350,52.96,9.84,8.29,0.0,1.0
269,13352,0.92,106.98,76.27,0.0,0.0
270,13353,6.72,-20.2,28.21,0.0,0.0
271,13354,6.08,1.82,5.82,0.0,0.0
272,13355,67.33,23.13,11.46,0.0,0.0
273,13357,20.14,-1.1,0.04,0.0,0.0
274,13360,-20.0,3.77,2.29,0.0,0.0
