,Median Household Income,Zip,Median Home Value,Have Bachelors+,Total Population,% Bachelors+
446,47527.0,13778,109700.0,4251.0,5872.0,72.39
447,58289.0,13780,110600.0,753.0,1036.0,72.68
448,37308.0,13782,150500.0,524.0,611.0,85.76
449,37946.0,13783,137900.0,1702.0,2282.0,74.58
450,22375.0,13784,75600.0,103.0,131.0,78.63
451,47188.0,13786,122200.0,309.0,413.0,74.82
452,50179.0,13787,107600.0,2457.0,3847.0,63.87
453,53393.0,13788,133000.0,709.0,959.0,73.93
454,39264.0,13790,87200.0,13472.0,18887.0,71.33
455,55357.0,13794,88300.0,89.0,109.0,81.65
456,52692.0,13795,109400.0,2657.0,3826.0,69.45
457,52097.0,13796,122700.0,859.0,1244.0,69.05
458,47973.0,13797,91200.0,1345.0,2118.0,63.5
459,48438.0,13801,75600.0,1001.0,1443.0,69.37
460,61016.0,13802,133500.0,434.0,629.0,69.0
461,47639.0,13803,105300.0,2473.0,3917.0,63.14
462,52109.0,13804,108100.0,229.0,379.0,60.42
463,56364.0,13806,135200.0,132.0,162.0,81.48
464,45481.0,13807,160800.0,847.0,1190.0,71.18
465,46217.0,13808,115800.0,1215.0,1531.0,79.36
466,42625.0,13809,101900.0,1079.0,1567.0,68.86
467,45074.0,13810,118500.0,934.0,1261.0,74.07
468,48092.0,13811,87400.0,2911.0,4315.0,67.46
469,50179.0,13812,97400.0,1626.0,2332.0,69.73
470,49542.0,13813,117200.0,610.0,956.0,63.81
471,39184.0,13815,86000.0,9777.0,14306.0,68.34
472,39165.0,13820,140400.0,12149.0,22869.0,53.12
473,48250.0,13825,127100.0,2472.0,3452.0,71.61
474,-666666666.0,13826,-666666666.0,0.0,0.0,
475,53255.0,13827,106000.0,8084.0,11595.0,69.72
476,52108.0,13830,88500.0,3288.0,4809.0,68.37
477,45000.0,13832,72900.0,464.0,736.0,63.04
478,53869.0,13833,89300.0,2845.0,4187.0,67.95
479,2499.0,13834,13400.0,40.0,40.0,100.0
480,48333.0,13835,77900.0,977.0,1614.0,60.53
481,39345.0,13838,86600.0,2739.0,4016.0,68.2
482,51726.0,13839,88200.0,1019.0,1649.0,61.8
483,45000.0,13841,89700.0,336.0,523.0,64.24
484,44722.0,13842,178100.0,341.0,610.0,55.9
485,50592.0,13843,119900.0,1152.0,1578.0,73.0
486,53333.0,13844,96000.0,557.0,800.0,69.62
487,-666666666.0,13845,-666666666.0,87.0,87.0,100.0
488,66250.0,13846,153100.0,229.0,294.0,77.89
489,31000.0,13847,107100.0,79.0,127.0,62.2
